"","PEMEX","CHEVRON","MOBIL","REPSOL","TOTAL","BP","G500"
"2018-02-02",13.32,92.5923767089844,1608.21484375,10.8361053466797,39.9557151794434,29.9030666351318,4051.75
"2018-02-05",12.7,87.9385528564453,1520.849609375,10.6519613265991,37.7933006286621,28.9004821777344,4077.25
"2018-02-06",13.33,91.4991836547852,1414.51904296875,10.4961471557617,38.8675384521484,29.4744281768799,4136.25
"2018-02-07",12.76,90.0233840942383,1439.16223144531,10.1845216751099,38.163013458252,29.0603179931641,4142.75
"2018-02-08",12.21,87.6886749267578,1433.34655761719,10.3899126052856,38.1002311706543,28.7333869934082,4176
"2018-02-09",12.34,88.6256637573242,1462.6083984375,10.042872428894,38.3652992248535,28.4137229919434,4169.75
"2018-02-12",12.46,89.0004959106445,1402.44750976562,9.89060020446777,38.8675384521484,28.9658718109131,4197.25
"2018-02-13",12.47,88.4616851806641,1405.40612792969,9.96142482757568,39.0907554626465,28.8351020812988,4205.25
"2018-02-14",12.68,88.7271881103516,1391.42126464844,9.89414310455322,39.8510818481445,29.3291149139404,4239.25
"2018-02-15",12.82,88.7429809570312,1390.61206054688,9.79144668579102,39.6487922668457,29.3807411193848,4240.75
"2018-02-16",12.75,88.4354095458984,1430.06237792969,9.73832893371582,39.8510818481445,29.2185096740723,4248.25
"2018-02-20",13.29,87.5206069946289,1430.06237792969,9.83748245239258,39.7813262939453,29.1447601318359,4240
"2018-02-21",13.16,86.0064697265625,1401.44128417969,9.88351726531982,39.5092811584473,28.6432819366455,4252.75
"2018-02-22",13.53,86.6610260009766,1401.44128417969,10.0003786087036,40.1301040649414,28.9456424713135,4253
"2018-02-23",13.94,88.7902908325195,1403.43383789062,9.92601299285889,40.7230224609375,29.5724868774414,4266.5
"2018-02-26",14.39,90.3753967285156,1407.37854003906,10.0003786087036,40.7648620605469,29.7126121520996,4240.75
"2018-02-27",14.21,89.5946731567383,1449.78747558594,10.0251655578613,40.0812759399414,29.1300144195557,4257.25
"2018-02-28",14.04,88.2619018554688,1450.28039550781,10.1066160202026,39.5441551208496,28.6580295562744,4293.5
"2018-03-01",13.98,88.3565368652344,1430.06237792969,10.0641193389893,39.4325561523438,28.7170257568359,4314.75
"2018-03-02",14.2,88.0410995483398,1409.25231933594,10.414701461792,39.4395332336426,28.5400295257568,4343.5
"2018-03-05",14.62,89.2319107055664,1424.46044921875,10.2695112228394,39.6418228149414,28.8792686462402,4387.75
"2018-03-06",14.66,89.6262130737305,1424.46044921875,9.91538906097412,39.7534255981445,29.1668834686279,4390.75
"2018-03-07",14.33,89.7760543823242,1424.46044921875,9.9968376159668,39.8650321960449,28.9898891448975,4409.75
"2018-03-08",14.27,89.3896408081055,1424.28295898438,10.0853681564331,39.8929405212402,29.100513458252,4456.25
"2018-03-09",14.71,92.4415893554688,1368.79650878906,9.90122509002686,39.9278182983398,29.2480010986328,4365.5
"2018-03-12",14.67,92.1024627685547,1365.9560546875,9.88705825805664,40.088249206543,29.3881168365479,4227.25
"2018-03-13",14.44,91.8422317504883,1365.9560546875,9.98975467681885,40.2207832336426,29.1668834686279,4314.25
"2018-03-14",14.48,90.7933578491211,1368.9150390625,10.0003786087036,40.6044387817383,28.6654033660889,4228.5
"2018-03-15",14.07,91.1482620239258,1358.509765625,10.0039196014404,40.4517555236816,28.7833938598633,4270
"2018-03-16",14.1,91.0063018798828,1374.84204101562,9.91538906097412,40.840518951416,29.1152572631836,4282.25
"2018-03-19",13.73,89.8154754638672,1374.84204101562,9.88705825805664,40.3033332824707,28.576904296875,4212.5
"2018-03-20",13.75,90.2965545654297,1371.8740234375,10.0712022781372,40.147819519043,28.7907772064209,4265.75
"2018-03-21",14.48,92.2996292114258,1375.42419433594,9.76665687561035,40.5224380493164,29.594612121582,4290.5
"2018-03-22",14.19,89.6656494140625,1375.42419433594,9.95080184936523,39.9923324584961,28.7833938598633,4299.25
"2018-03-23",14.31,89.0978393554688,1331.43713378906,10.0959911346436,39.7802810668945,28.8497734069824,4228.75
"2018-03-26",14.47,90.9668579101562,1331.43713378906,9.96850776672363,40.7132949829102,29.8084754943848,4195.75
"2018-03-27",13.96,90.422721862793,1331.43713378906,9.93663692474365,39.9781837463379,29.4766292572021,4062.25
"2018-03-28",13.76,88.4038619995117,1331.43713378906,10.0676622390747,39.7237396240234,29.2037582397461,4120.5
"2018-03-29",14.14,89.9337692260742,1315.29284667969,10.1845216751099,40.7769050598145,29.89697265625,4140.75
"2018-04-02",13.72,88.5142517089844,1315.29284667969,10.1314039230347,40.1548919677734,29.432373046875,4065.25
"2018-04-03",13.67,90.5568084716797,1315.29284667969,10.2093095779419,41.0666999816895,30.0223331451416,4096.75
"2018-04-04",13.63,90.2807769775391,1315.29284667969,10.2695112228394,41.5049285888672,30.258337020874,4206.25
"2018-04-05",13.98,92.4967956542969,1315.29284667969,10.3722057342529,42.1976165771484,30.9146785736084,4196.25
"2018-04-06",13.92,90.501579284668,1365.9560546875,10.6094675064087,41.9926452636719,30.7966918945312,4246.25
"2018-04-09",13.38,91.4636764526367,1390.59228515625,10.6271734237671,41.9714393615723,30.7229347229004,4250.75
"2018-04-10",14.01,93.7270126342773,1392.58471679688,10.6059265136719,42.7630844116211,31.5489025115967,4221
"2018-04-11",14.33,94.0424575805664,1392.58471679688,10.8325643539429,42.70654296875,31.7553997039795,4268.5
"2018-04-12",14.27,94.0267028808594,1386.66735839844,10.9069290161133,42.6217231750488,31.7553997039795,4278.25
"2018-04-13",13.86,94.5708312988281,1390.61206054688,10.9954595565796,42.4167404174805,31.6816463470459,4280.25
"2018-04-16",13.42,95.1859588623047,1390.6220703125,11.0025415420532,42.515697479248,31.50465965271,4320.25
"2018-04-17",13.69,95.7853164672852,1421.18591308594,10.9175539016724,42.85498046875,31.4530277252197,4361.25
"2018-04-18",14.24,97.6464462280273,1436.95617675781,10.9458837509155,43.5618019104004,32.1020088195801,4434.75
"2018-04-19",14.38,97.5596923828125,1447.12487792969,11.1512718200684,43.8445320129395,32.205249786377,4431
"2018-04-20",14.3,96.4556350708008,1473.16137695312,11.144190788269,43.9646987915039,32.0798835754395,4412.5
"2018-04-23",14.09,97.457160949707,1473.16137695312,11.1371078491211,44.0707206726074,32.3822402954102,4353.25
"2018-04-24",13.96,96.6370162963867,1479.375,11.1725206375122,44.3817291259766,32.6256103515625,4400.75
"2018-04-25",13.5,96.7789688110352,1489.48376464844,11.3141679763794,43.9152183532715,32.5739822387695,4365.5
"2018-04-26",14.05,97.9618911743164,1430.06237792969,11.119402885437,44.5584259033203,33.0754623413086,4331.25
"2018-04-27",14.14,99.8545761108398,1430.06237792969,11.1937675476074,44.4948234558105,32.6108665466309,4325.25
"2018-04-30",14.09,98.6637344360352,1448.80126953125,11.1937675476074,44.2544937133789,32.8837203979492,4322.75
"2018-05-01",13.77,98.4666061401367,1423.15832519531,11.2256383895874,43.8940124511719,33.0385932922363,4342.5
"2018-05-02",13.82,98.9634170532227,1459.64001464844,11.239803314209,43.7597198486328,32.9648475646973,4267.75
"2018-05-03",13.73,99.3735198974609,1503.34118652344,11.2610502243042,44.0777816772461,32.9869728088379,4276.25
"2018-05-04",13.69,98.9949722290039,1464.58154296875,11.3424978256226,44.1767349243164,33.4368133544922,4151.25
"2018-05-07",13.99,98.5296936035156,1547.86999511719,11.5053930282593,43.8233261108398,33.6949348449707,4147.25
"2018-05-08",13.87,99.8151321411133,1544.86169433594,11.4239444732666,43.5900764465332,33.4294509887695,4115.75
"2018-05-09",15.13,101.51065826416,1545.27648925781,11.7143249511719,44.1979522705078,34.4987831115723,4164.25
"2018-05-10",16.21,101.58952331543,1559.09106445312,11.6647453308105,44.5230903625488,34.2746620178223,4255.25
"2018-05-11",16.19,102.393905639648,1590.66760253906,11.7851486206055,45.088550567627,34.2373123168945,4356.5
"2018-05-14",16.65,102.827651977539,1590.66760253906,11.8063955307007,45.406623840332,34.6631393432617,4425
"2018-05-15",16.85,102.315063476562,1590.66760253906,11.8559732437134,45.1451072692871,34.9544792175293,4410.5
"2018-05-16",17.14,102.173110961914,1599.54833984375,11.863055229187,44.678596496582,34.8947105407715,4539.5
"2018-05-17",16.48,102.984504699707,1609.416015625,12.1038589477539,45.2299156188965,35.2532958984375,4452.75
"2018-05-18",16.48,101.711708068848,1608.42932128906,12.0861520767212,45.2723159790039,35.3952445983887,4491.75
"2018-05-21",15.9,102.912910461426,1589.68078613281,12.1392688751221,45.2016448974609,35.7015266418457,4478.75
"2018-05-22",15.7,102.006034851074,1589.68078613281,12.1534357070923,44.5796318054199,35.178596496582,4479.25
"2018-05-23",15.11,102.379920959473,1519.62023925781,11.6222534179688,43.3921661376953,34.7004737854004,4558
"2018-05-24",12.78,100.717361450195,1519.62023925781,11.5089349746704,43.144775390625,34.177547454834,4541.75
"2018-05-25",12.61,97.2012634277344,1530.96850585938,11.1618967056274,41.8936882019043,33.1316719055176,4548
"2018-05-29",11.92,96.5648803710938,1588.69421386719,11.0981559753418,41.3706398010254,33.2736206054688,4484.25
"2018-05-30",11.92,99.5638809204102,1601.52197265625,11.0839900970459,42.8267059326172,34.1476669311523,4499.5
"2018-05-31",11.92,98.8797454833984,1601.52197265625,11.547887802124,42.8691139221191,34.2298355102539,4479
"2018-06-01",10.13,98.5217895507812,1598.56176757812,11.547887802124,43.3285484313965,34.3045425415039,4563.25
"2018-06-04",10.7,97.2569580078125,1628.16479492188,11.6895360946655,43.335620880127,34.334415435791,4558.25
"2018-06-05",10.25,97.6308364868164,1603.49572753906,11.6541242599487,43.2013168334961,34.5809593200684,4566
"2018-06-06",10.04,98.1479110717773,1681.60778808594,11.6257953643799,43.6112785339355,34.5734710693359,4579.25
"2018-06-07",9.66,100.99577331543,1686.37390136719,11.9728336334229,44.2121276855469,35.2607688903809,4532.75
"2018-06-08",9.78,100.58211517334,1691.31774902344,12.1888475418091,44.1620635986328,35.1412391662598,4615.75
"2018-06-11",9.88,101.47306060791,1691.31774902344,12.0649042129517,44.6198387145996,35.2010040283203,4607.25
"2018-06-12",9.78,101.091247558594,1675.52966308594,12.2384243011475,43.5540580749512,34.4539489746094,4628
"2018-06-13",9.67,101.083282470703,1675.52966308594,12.1180238723755,43.9045524597168,34.3717727661133,4644.75
"2018-06-14",9.52,100.637794494629,1675.52966308594,12.0755290985107,43.775806427002,34.6930046081543,4649.75
"2018-06-15",9.44,98.6729354858398,1667.63549804688,12.1959295272827,43.3394775390625,33.7143783569336,4650.75
"2018-06-18",9.27,100.208236694336,1632.34838867188,12.1251077651978,43.461067199707,33.8787231445312,4651.75
"2018-06-19",9.52,99.8661575317383,1623.72436523438,12.157904624939,42.781551361084,33.7293243408203,4625.75
"2018-06-20",9.84,99.6672973632812,1590.32202148438,12.1178169250488,42.4310531616211,33.4379615783691,4591.25
"2018-06-21",9.41,97.5194549560547,1610.353515625,11.9210147857666,41.9446487426758,32.9897346496582,4628
"2018-06-22",9.43,99.5161590576172,1575.86608886719,11.844482421875,43.5111389160156,34.1999626159668,4613.5
"2018-06-25",9.59,97.5353851318359,1581.30322265625,12.1724843978882,43.0962791442871,33.049503326416,4657
"2018-06-26",9.74,98.7683944702148,1581.30322265625,11.9683933258057,43.1320343017578,33.5350723266602,4676.75
"2018-06-27",9.78,100.23210144043,1581.30322265625,12.0376377105713,43.3680839538574,33.9459648132324,4654.5
"2018-06-28",9.84,99.9616394042969,1626.48718261719,12.2490167617798,43.0819625854492,34.1177825927734,4607
"2018-06-29",10.03,100.574165344238,1626.48718261719,12.3000392913818,43.3180084228516,34.1103057861328,4644.5
"2018-07-02",10.07,98.839973449707,1602.50903320312,12.2198610305786,43.532600402832,33.7666702270508,4658.5
"2018-07-03",10.22,99.221809387207,1602.50903320312,12.157904624939,43.9188613891602,34.2896003723145,4653
"2018-07-05",10.26,98.6251831054688,1547.25,12.2891044616699,44.9488792419434,34.3643074035645,4706
"2018-07-06",10.42,98.7524795532227,1550.21020507812,12.336483001709,44.8773422241211,34.3194770812988,4703
"2018-07-09",10.69,100.224143981934,1569.38317871094,12.577018737793,45.89306640625,34.8125343322754,4696.25
"2018-07-10",10.67,101.496925354004,1569.38317871094,12.5077743530273,45.8143730163574,35.1487083435059,4658.75
"2018-07-11",10.35,98.2592926025391,1546.17419433594,12.5879516601562,44.1906661987305,33.7218437194824,4665.75
"2018-07-12",10.63,98.8479385375977,1534.42199707031,12.5988836288452,44.5197067260742,33.8787231445312,4745.75
"2018-07-13",10.69,98.6729354858398,1556.26879882812,12.3984403610229,44.5554618835449,33.8936653137207,4783.5
"2018-07-16",10.61,97.829719543457,1556.26879882812,12.3619937896729,44.2908096313477,33.3333740234375,4798.5
"2018-07-17",10.96,96.9785308837891,1556.26879882812,12.3802185058594,44.0976905822754,33.1914443969727,4797
"2018-07-18",10.73,96.6762390136719,1525.73840332031,12.2453718185425,44.3480262756348,33.0569686889648,4785
"2018-07-19",10.77,96.7876052856445,1539.35546875,12.2599496841431,44.0118446350098,33.1989135742188,4793.75
"2018-07-20",11.34,97.2649078369141,1539.35546875,12.2089281082153,43.9832344055176,33.2736206054688,4804.25
"2018-07-23",11.38,96.5171508789062,1525.44250488281,12.3547067642212,43.8115615844727,33.0569686889648,4751.75
"2018-07-24",11.68,98.5217895507812,1544.28967285156,12.2854614257812,44.3122711181641,33.4827842712402,4747.5
"2018-07-25",11.95,99.3570404052734,1557.68981933594,12.2891044616699,44.6770629882812,33.6471366882324,4763.75
"2018-07-26",11.59,98.6013336181641,1549.22326660156,12.2818164825439,45.1563110351562,33.2661437988281,4830.25
"2018-07-27",11.91,100.208236694336,1549.22326660156,12.2198610305786,45.8000717163086,33.2511940002441,4852
"2018-07-30",11.86,101.687850952148,1485.07385253906,12.1761274337769,45.9645919799805,33.1764945983887,4831.25
